barcode,author,title,volume,publisher,copyrightYear,Pages,classificationNumber,language,stockhead,issueinglibrary,subject,price,currency,billdate,billnumber,bookcategory,section,booktype,SourceofPurchase,lostStatus
SC003098,Martinich,Production And Operating Management,,Willey Publication,1999,875,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,445.5,INR,6/26/2001,1341,Reference,Reference Section,NFIC,APS,
SC003099,King S.H.,New Vistas In English Prose,,Black,1977,159,1.3,eng,SCGRANT,SCGRANT,Humaniites,24,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003100,"Mano, M. Morris",Computer System Architecture,,Prentice Hall of India,1999,525,4,eng,SCGRANT,SCGRANT,Computer Science,150,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003101,Van Valkenberg,Network Analysis,,Prentice Hall of India,2000,571,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,195,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003102,Vankatraman R.,Pulse Digital Circuits & Computer Fundamentals,,Dhanpat Rai,1997,109,4,eng,SCGRANT,SCGRANT,Computer Science,125,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003103,Rajaraman V.,Computer Programming In Fortran -77,,Prentice Hall of India,1999,198,4,eng,SCGRANT,SCGRANT,Computer Science,95,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003104,Rangwala,Building Construction,,Charotar Publication,2000,831,624,eng,SCGRANT,SCGRANT,Civil Engineering,140,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003105,Arora/Bindi,Building Construction,,Dhanpat Rai,1999,1074,624,eng,SCGRANT,SCGRANT,Civil Engineering,120,INR,6/26/2001,1341,BK,General Section,NFIC,APS,3
SC003106,Punmia B.C.,Surveying Vol-4,,Laxmi Publication.,2000,642,624,eng,SCGRANT,SCGRANT,Civil Engineering,150,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003107,Rangwala,Engineer Materials,,Charotar Publication,2000,539,624,eng,SCGRANT,SCGRANT,Civil Engineering,95,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003108,Ballaney,Thermal Engineers,,Khanna Publication,2000,1506,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,260,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003109,Joshi.Mahajan,Process Equipment Design,,Macmillan,2000,472,624,eng,SCGRANT,SCGRANT,Civil Engineering,295,INR,6/26/2001,1341,BK,General Section,NFIC,APS,
SC003110,Chatterjee,Dynamics,,Raj House,1999,-,624,eng,SCGRANT,SCGRANT,Civil Engineering,95,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003111,Subramanyam,Optics,,S. Chand Publication,1999,718,600,eng,SCGRANT,SCGRANT,Applied Science,100,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003112,"Khurmi, R.S.",Strength of Materials,,S. Chand Publication,1998,986,624,eng,SCGRANT,SCGRANT,Civil Engineering,135,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003113,Krayszig,Advanced Engineering Mathematics,,Willey Publication,1995,988,600,eng,SCGRANT,SCGRANT,Applied Science,295,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003114,Agarwal,2000 Indian Economy,,Wishwa Products,2000,738,1.3,eng,SCGRANT,SCGRANT,Humaniites,210,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003115,Korth,Database System & Concepts,,McGraw Hill,1997,821,4,eng,SCGRANT,SCGRANT,Computer Science,321.75,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003116,Raghvan V.,Material Science & Engineering,,Prentice Hall of India,1999,434,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,150,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003117,Millman,Pulse Digital & Switching Waveforms,,Tata McGraw Hill,1999,950,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,260,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003118,Millman,Electronics Devices & Circuits,,Tata McGraw Hill,1999,752,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,210,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003119,Joshi.,Foundation Of Discrete Mathmatics,,New Age Publication,2000,748,600,eng,SCGRANT,SCGRANT,Applied Science,275,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003120,Samuelson,Economics,,Tata McGraw Hill,1999,781,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003121,Tripathi,Principles Of Managements,,Tata McGraw Hill,1998,323,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,120,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003122,Lucas,Information Technologies for Management,,McGraw Hill,-,714,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,816.75,INR,6/26/2001,1340,BK,General Section,NFIC,APS,
SC003123,Raghuvanshi B.S.,Workshop Technology,,Dhanpat Rai,2000,708,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,85,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003124,O. Prasad,Diff. Calculus,,Pothishala Publication,1992,352,600,eng,SCGRANT,SCGRANT,Applied Science,50,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003125,O. Prasad,Integral Calculas,,Pothishala Publication,1996,348,600,eng,SCGRANT,SCGRANT,Applied Science,60,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003126,Mittal G.K.,Network Analysis,,Khanna Publication,1998,1076,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,130,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003127,Tripathi,Industrial Reation & Labour Laws,,Pothishala Publication,1996,2.497,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,100,INR,6/26/2001,1339,Reference,Reference Section,NFIC,APS,
SC003128,Banga/Sharma,Mechanical Estimating & Costing,,Khanna Publication,1999,462,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,65,INR,6/26/2001,1339,Reference,Reference Section,NFIC,APS,
SC003129,Terry/ Frankelin,Principles Of Managements,,A.I.T.B.S.,1997,614,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,110,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003130,"Ryder, J.D.",Network Lines & Fields,,Prentice Hall of India,1999,591,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,150,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003131,"Khurmi, R.S.",Engineer Mechanics,,S. Chand Publication,1998,840,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,120,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003132,Gupta,Modern Physics,,Dhanpat Rai,1997,628,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,80,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003133,Soni/Gupta,Electronics Circuits Analysis,,Dhanpat Rai,2000,141,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,145,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003134,Gupta/Kumar,Practical Physics,,Pragati Prakash,1999,175,600,eng,SCGRANT,SCGRANT,Applied Science,135,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003135,Not Entry,Not Entry,,Not Entry,-,-,-,eng,SCGRANT,SCGRANT,Not Entry,,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003136,Smith,Introduction To Chemical Engineering,,McGraw Hill,1996,761,660,eng,SCGRANT,SCGRANT,Chemical Engineering,495.5,INR,6/26/2001,1339,BK,General Section,NFIC,APS,
SC003137,Bhatt/ Vore,Stoichlmetry,,Tata McGraw Hill,1996,642,660,eng,SCGRANT,SCGRANT,Chemical Engineering,210,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003138,"Himmelblan, D.M.",Basic Principle & Calculation In Chemical Engineering,,Prentice Hall of India,2000,725,660,eng,SCGRANT,SCGRANT,Chemical Engineering,350,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003139,Dryden's,Outlines Of Chemical Technology,,East West Press,2001,802,660,eng,SCGRANT,SCGRANT,Chemical Engineering,325,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003140,Ramamruthan S.,Basic Civil Engineering,,Dhanpat Rai,2001,601,624,eng,SCGRANT,SCGRANT,Civil Engineering,165,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003141,Sharma,Business Correspondence & Report Writing,,Tata McGraw Hill,2000,322,1.3,eng,SCGRANT,SCGRANT,Humaniites,135,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
SC003142,Mahajan M.,Industral Engineering & Production Management,,Dhanpat Rai,2001,784,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,160,INR,9/29/2001,1616,BK,General Section,NFIC,APS,
