952$p,100$a,245$a,250$a,260$b,260$c,300$a,082$a,041$h,952$a,952$b,650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
SC013195,"Wang, C K",Intermediate Structural Analysis,,Tata McGraw Hilll,1983,790,624,eng,SCGRANT,SCGRANT,Civil Engineering,850,INR,26/10/2004,2064,BK,General Section,NFIC,APS,
SC013196,"Wang, C K",Intermediate Structural Analysis,,Tata McGraw Hilll,1983,790,624,eng,SCGRANT,SCGRANT,Civil Engineering,850,INR,26/10/2004,2064,BK,General Section,NFIC,APS,
SC013197,"Wang, C K",Intermediate Structural Analysis,,Tata McGraw Hilll,1983,790,624,eng,SCGRANT,SCGRANT,Civil Engineering,850,INR,26/10/2004,2064,BK,General Section,NFIC,APS,3
SC013198,Barrie & Paulson,Professional Construction Management,,Tata McGraw Hilll,2001,577,624,eng,SCGRANT,SCGRANT,Civil Engineering,704,INR,26/10/2004,2064,Reference,Reference Section,NFIC,APS,
SC013199,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013200,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013201,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013202,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013203,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013204,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013205,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,3
SC013206,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013207,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013208,"Bansal, R K",Engineering Mechanics,,Laxmi Publication,2004,661,624,eng,SCGRANT,SCGRANT,Civil Engineering,195,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013209,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,3
SC013210,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013211,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013212,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013213,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013214,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013215,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013216,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013217,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013218,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013219,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013220,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013221,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013222,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013223,"Punmia, B C",Mechanics of Materials,,Laxmi Publication,2001,952,624,eng,SCGRANT,SCGRANT,Civil Engineering,300,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013224,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013225,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013226,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013227,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013228,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013229,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013230,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013231,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013232,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013233,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013234,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013235,Malik & Meo,Civil Engineering Drawing,,New Asian,2005,548,624,eng,SCGRANT,SCGRANT,Civil Engineering,148,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013236,"Singh, Gurucharan",Building Planning Designing & Scheduling,,SPD,2004,388,624,eng,SCGRANT,SCGRANT,Civil Engineering,100,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013237,"Singh, Gurucharan",Building Planning Designing & Scheduling,,SPD,2004,388,624,eng,SCGRANT,SCGRANT,Civil Engineering,100,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013238,"Singh, Gurucharan",Building Planning Designing & Scheduling,,SPD,2004,388,624,eng,SCGRANT,SCGRANT,Civil Engineering,100,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013239,"Singh, Gurucharan",Building Planning Designing & Scheduling,,SPD,2004,388,624,eng,SCGRANT,SCGRANT,Civil Engineering,100,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013240,"Singh, Gurucharan",Building Planning Designing & Scheduling,,SPD,2004,388,624,eng,SCGRANT,SCGRANT,Civil Engineering,100,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013241,"Singh, Gurucharan",Building Planning Designing & Scheduling,,SPD,2004,388,624,eng,SCGRANT,SCGRANT,Civil Engineering,100,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013242,"Singh, Gurucharan",Building Planning Designing & Scheduling,,SPD,2004,388,624,eng,SCGRANT,SCGRANT,Civil Engineering,100,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013243,"Arora, K R",Soil Mechanics and Foundation Engg,,SPD,2005,886,624,eng,SCGRANT,SCGRANT,Civil Engineering,275,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013244,"Arora, K R",Soil Mechanics and Foundation Engg,,SPD,2005,886,624,eng,SCGRANT,SCGRANT,Civil Engineering,275,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013245,"Arora, K R",Soil Mechanics and Foundation Engg,,SPD,2005,886,624,eng,SCGRANT,SCGRANT,Civil Engineering,275,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013246,Sen Gupta,Construction Management & Planning,,Tata McGraw Hill,2003,495,624,eng,SCGRANT,SCGRANT,Civil Engineering,225,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013247,Sen Gupta,Construction Management & Planning,,Tata McGraw Hill,2003,495,624,eng,SCGRANT,SCGRANT,Civil Engineering,225,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013248,Sen Gupta,Construction Management & Planning,,Tata McGraw Hill,2003,495,624,eng,SCGRANT,SCGRANT,Civil Engineering,225,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013249,Sen Gupta,Construction Management & Planning,,Tata McGraw Hill,2003,495,624,eng,SCGRANT,SCGRANT,Civil Engineering,225,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
SC013250,Sen Gupta,Construction Management & Planning,,Tata McGraw Hill,2003,495,624,eng,SCGRANT,SCGRANT,Civil Engineering,225,INR,28/10/2004,2078,BK,General Section,NFIC,APS,
