Barcode,Author,title,Volume,Publisher,Copyright Year,Pages,Notification Number,language,stockhead,issueinglibrary,subject,price,currency,billdate,billnumber,bookcategory,section,booktype,SourceofPurchase,lostStatus
SC019576,"Iyer, T.S.K.V",Circuit Theory,,Tata McGraw Hill,2006,520,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,295,INR,12/28/2006,4265,BK,General Section,NFIC,APS,
SC019577,"Iyer, T.S.K.V",Theory & Problems in Circuit Analysis,,Tata McGraw Hill,2004,672,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,299,INR,12/28/2006,4265,BK,General Section,NFIC,APS,
SC019578,"Bapat, Y.N.",Electronic Circuit and Systems,,Tata McGraw Hill,2006,446,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,199,INR,12/28/2006,4265,BK,General Section,NFIC,APS,
SC019579,Jaeger/Blalock,Microelectronic Circuit Design,,Tata McGraw Hill,2006,943,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,395,INR,12/28/2006,4265,BK,General Section,NFIC,APS,
SC019580,"Ravichandran , D.",Introduction To Computer & Communication,,Tata McGraw Hill,2006,584,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,295,INR,12/28/2006,4265,BK,General Section,NFIC,APS,
SC019581,"Walrand, D.",Communication Networks,,Tata McGraw Hill,2003,336,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,250,INR,12/28/2006,4265,BK,General Section,NFIC,APS,
SC019582,R Muthusubramanian,Basic Electrical Electronics and Computer Engineering,,Tata McGraw Hill,2006,525,621.38,eng,SCGRANT,SCGRANT,Electrical  Engineering,175,INR,12/28/2006,4265,BK,General Section,NFIC,APS,
SC019583,"Bogart , T.F.",Introduction To Digital Circuits,,McgrawHill,1992,820,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,99.95,INR,12/28/2006,4265,Reference,Reference Section,NFIC,APS,
SC019584,"Sahu, G.K.",Handbook of Piping Design,,McgrawHill,2006,447,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,950,INR,1/2/2007,4265,Reference,Reference Section,NFIC,PBC,
SC019585,"Sahu, G.K.",Handbook of Piping Design,,New Age International,2006,447,621.38,eng,SCGRANT,SCGRANT,Electronics & Telecommunication Engineering,950,INR,1/2/2007,4265,Reference,Reference Section,NFIC,PBC,
