barcode,author,title,440$v(volume),publisher,copyrightdate,pages,ClassificationNumber,041$h(language),3(stockhead),homebranch,650$a(subject),price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
LGARC#01,"Donger,Kery",Interior Decoration in India,,,1973,115p,ARC,,,ARC,,99,,,,,,,,
LGARC#02,Tall,Advanced in Tall Building,,CBS,1987,693p,ARC,,,ARC,,,,,,,,,,
LGARC#03,Morgan,Architectural drawing,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#04,Kinny,Architectural drawing,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#05,Hellen,The Ideal City,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#06,Chambers,Seven Figure Maths Tables,,,,p,ARC,,,ARC,,8,,,,,,,,
LGARC#07, ,Architectural Graphics,,,,,ARC,,,ARC,,22.5,,,,,,,,
LGARC#08,Dietz,Materials of construction,,,,p,ARC,,,ARC,,24,,,,,,,,
LGARC#09,rosenau,Ideal city,,,,,ARC,,,ARC,,30,,,,,,,,
LGARC#10,Twiner,  Architectural Practice and Procedure,,,,,ARC,,,ARC,,29,,,,,,,,
LGARC#11,Crane, Architectural Costruction,,,,,ARC,,,ARC,,40,,,,,,,,
LGARC#12,Seelye,Data Book For Civil Engineering Vol I,,,,p,ARC,,,ARC,,96,,,,,,,,
LGARC#13,Seelye,Data Book For Civil Engineering Vol I,,,,p,ARC,,,ARC,,96,,,,,,,,
LGARC#14,Bibbilt,Sewerage And Sewage Treatment,,,,p,ARC,,,ARC,,22.5,,,,,,,,
LGARC#15, ,Hand book of perspective Design,,,,",",ARC,,,ARC,,,,,,,,,,
LGARC#16,Mitchall,Advanced Building Construction,,,,p,ARC,,,ARC,,41.58,,,,,,,,
LGARC#17,Parker,Simplifid Engineering For Archited And Buildings,,,,p,ARC,,,ARC,,25,,,,,,,,
LGARC#18,Lewis,Planning The Modern City I,,,,p,ARC,,,ARC,,48,,,,,,,,
LGARC#19,Deshpandey,Materials of construction,,,,,ARC,,,ARC,,,,,,,,,,
LGARC#20,Devis,Pumping heating & piping estimators guide,,,,,ARC,,,ARC,,35,,,,,,,,
LGARC#21,Baily,Masonry,,,,,ARC,,,ARC,,17,,,,,,,,
LGARC#22,Davies,Roads And Their Traffic,,,,p,ARC,,,ARC,,47,,,,,,,,
LGARC#23,Crane, Architectural Costruction,,,,,ARC,,,ARC,,50,,,,,,,,
LGARC#24,Babbit,Water Supply Engineering,,,,p,ARC,,,ARC,,21,,,,,,,,
LGARC#25,Lewis,Planning The Modern City I,,,,p,ARC,,,ARC,,52,,,,,,,,
LGARC#26,Seelye,Data  Book For Civil Engineers Design,,,,p,ARC,,,ARC,,12.5,,,,,,,,
LGARC#27,Seelye E.E.,Design cost eleven,,,,,ARC,,,ARC,,24,,,,,,,,
LGARC#28,Benjamin,The Analysis of Bacad Dames,,Asian Ed.,1963,110p,ARC,,,ARC,,12,,,,,,,,
LGARC#29,Lewis,City in history,,,,,ARC,,,ARC,,80,,,,,,,,
LGARC#30,Ti E. Companey,Timber Design And Concrete H. Book,,McGraw Hill,1956,622p,ARC,,,ARC,,60,,,,,,,,
LGARC#31,Rinzey,environmental Technologies in architecture,,,,,ARC,,,ARC,,65,,,,,,,,
LGARC#32,Vaskoboinik,Nuclear Power,,F.L.H. Moscow,,p,ARC,,,ARC,,1.56,,,,,,,,
LGARC#33,E.A.Gutkind,The Tublight of Cities,,E.P.,1962,201p,ARC,,,ARC,,22,,,,,,,,
LGARC#34,Preston,Prestressed Concrete for Architects of Engineers,,,1964,196p,ARC,,,ARC,,34,,,,,,,,
LGARC#35,Philips,Lighting in Architectural design,,Mcgraw Hill,1964,310p,ARC,,,ARC,,70,,,,,,,,
LGARC#36,Ghurye,Cities and Civilization,,,,,ARC,,,ARC,,70,,,,,,,,
LGARC#37,VLS Prakash Rao,Regional Planning,,Asian Publication,1963,53p,ARC,,,ARC,,9.5,,,,,,,,
LGARC#38,Victor alagey,Design with Climate,,Priceton,1963,190p,ARC,,,ARC,,75,,,,,,,,
LGARC#39,Turner,Prestressed Concreat Designers H.B.,,,,,ARC,,,ARC,,10.5,,,,,,,,
LGARC#40,Simms of cook,Practical Tunnelling,,Lockwood,1896,548p,ARC,,,ARC,,157.1,,,,,,,,
LGARC#41,JohnMadge,Tomorrows Houses,,H.M.S.O.,1946,336p,ARC,,,ARC,,157.1,,,,,,,,
LGARC#42,Fredric,Town Design,,,,,ARC,,,ARC,,68.55,,,,,,,,
LGARC#43,Gallien,Urban Pattern,,,,",",ARC,,,ARC,,19,,,,,,,,
LGARC#44,B.I.S.,Films from Britain(5th Supplement),,BIS,1967,23p,ARC,,,ARC,,0.5,,,,,,,,
LGARC#45,Hudson,Encyclopedia of Modern Architectres,,Thames Hudson,1962,336p,ARC,,,ARC,,31.5,,,,,,,,
LGARC#46,Mishkin and Broun,Adaptive Control Systems,,Mcgraw Hill,1961,533p,ARC,,,ARC,,110,,,,,,,,
LGARC#47,Sorohin,"Ventilation,Air-conditioning and Heating in textile mills",,,,,ARC,,,ARC,,8.6,,,,,,,,
LGARC#48,Isaac Arg,Approach to Architecture Design,,,1971,",112p",ARC,,,ARC,,80,,,,,,,,
LGARC#49,Sehgal,Highway Engineering and Airport,,S.Chand,1971,544p,ARC,,,ARC,,16.5,,,,,,,,
LGARC#50,Leuder,Aerial Photographic Interpretation,,,1959,462p,ARC,,,ARC,,198,,,,,,,,
LGARC#51,Richards,Modern Architecture,,,1966,94p,ARC,,,ARC,,25,,,,,,,,
LGARC#52,Dovidovich V.G.,Town Planning in Industrial District,,Program,1968,314p,ARC,,,ARC,,112,,,,,,,,
