barcode,author,title,volume,publisher,copyright,pages,classificationnumber,language,stockhead,issueinglibrary,subject,price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
SC##000001,Balleny,Heat Engines,,Khanna,1969,842p,,,,SCGRANT,,20,,,,,,,,
SC##000002,Panday and Shah,Machine Design,,BS,1967,716p,,,,SCGRANT,,17.5,,,,,,,,
SC##000003,Pandey and Patel,Machine Design,,Acharya Book,1968,373p,,,,SCGRANT,,10,,,,,,,,
SC##000004,Pandey and Patel,Machine Design,,Depot Baroda,1968,372p,,,,SCGRANT,,10,,,,,,,,
SC##000005,Jagdish Lal,Hydraulic Machines,,Metropoleta,1969,631p,,,,SCGRANT,,17.5,,,,,,,,
SC##000006,Alam singh,Soil Engineering,,Aph,1967,805p,,,,SCGRANT,,36,,,,,,,,
SC##000007,Purnima BC,Irrigation and Water Power,,SPD,1969,684p,,,,SCGRANT,,21,,,,,,,,
SC##000008,Arya and Ajmani,Design of Steel Structure,,NCB,1967,735p,,,,SCGRANT,,20,,,,,,,,
SC##000009,BC Punia and Goyal,Strength of Material,,SPD,1968,568p,,,,SCGRANT,,15.5,,,,,,,,
SC##000010,BC Punia and Goyal,Strength of Material,,SPD,1968,568p,,,,SCGRANT,,20,,,,,,,,
SC##000011,Taylor,Engineering Design,,Pitman,1961,137p,,,,SCGRANT,,24.75,,,,,,,,
SC##000012,Low,Pocket Book for Mech Engineers,,Longman,1955,778p,,,,SCGRANT,,17.5,,,,,,,,
SC##000013,Low,Heat Engine,,Longman,1963,592p,,,,SCGRANT,,25,,,,,,,,
SC##000014,Kuo,Automatic Control System,,Prentuittall,1967,523p,,,,SCGRANT,,23,,,,,,,,
SC##000015,Desh Pandey,Power Station Design,,Pitman,1966,366p,,,,SCGRANT,,24.75,,,,,,,,
SC##000016,Ryder,Engineering Electronics,,IES Mug,1967,690p,,,,SCGRANT,,33.75,,,,,,,,
SC##000017,Terman and Pettit,Rlectronie Measurement,,Meg Asion,1952,707p,,,,SCGRANT,,30,,,,,,,,
SC##000018,Doughty,Design of Machine Meanless,,Meg Asian,1951,520p,,,,SCGRANT,,29.25,,,,,,,,
SC##000019,Lewitt,Heat Engine,,Hitman,1965,890p,,,,SCGRANT,,20.7,,,,,,,,
SC##000020,Terman,Electronics and Radio Engineer,,Meg Asian,1955,1078p,,,,SCGRANT,,37.5,,,,,,,,
SC##000021,Verma,Power Plant Engineering,,Metro BC,1969,302p,,,,SCGRANT,,13.5,,,,,,,,
SC##000022,Sehgal,Soil Machanics,,Metro BC,1968,503p,,,,SCGRANT,,20,,,,,,,,
SC##000023,Uppal,Electrical Power,,Khanna,1968,1691p,,,,SCGRANT,,28.75,,,,,,,,
