bracode,author,title,volume,publisher,copyright,pages,classificationnumber,language,stockhead,issuinglibrary,subject,price,currency,923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
TP$000001,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000002,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000003,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000004,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000005,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000006,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000007,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000008,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000009,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000010,Jain V K,Advanced Machining Processes,,Allied Publication Pvt,2015,371p,,,,TEQIPGRANT,,395,,,,,,,,
TP$000011,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000012,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000013,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000014,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000015,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000016,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000017,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000018,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000019,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
TP$000020,Coulson & Rechardson,Chemical Engineering Vol-2,,Elsevier Science,2015,1229p,,,,TEQIPGRANT,,895,,,,,,,,
