952$p,100$a,245$a,440$v,260$b,260$c,300$a,082$a,041$h,003,040$c,650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
ST020079,"Bimbhra, P.S.",Power Electronics,,Khanna Publisher,1999,467,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,100,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020080,"Bimbhra, P.S.",Power Electronics,,Khanna Publisher,1999,467,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,100,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020081,"Rashid , M.H.",Power Electronics,,Prentice Hall of India,1998,702,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,175,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020082,"Grewal , B.S.",Higher Engineering Mathematics,,Khanna Publisher,1999,962,600,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,170,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020083,"Grewal , B.S.",Higher Engineering Mathematics,,Khanna Publisher,1999,962,600,eng,STSCGRANT,STSCGRANT,Applied Science,170,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020084,"Chatterjee , P.N.",Modern Algebra,,Rajhans Bro,1999,-,600,eng,STSCGRANT,STSCGRANT,Applied Science,95,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020085,"Chatterjee , P.N.",Modern Algebra,,Rajhans Bro,1999,-,600,eng,STSCGRANT,STSCGRANT,Applied Science,95,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020086,Nagrath/ Gopal,Control Systems Engineering,,New Age International,1999,826,621.38,eng,STSCGRANT,STSCGRANT,Applied Science,225,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020087,Nagrath/ Gopal,Control Systems Engineering,,New Age International,1999,826,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,225,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020088,"Manke , B.S.",Linear Control Systems,,Khanna Publisher,1999,556,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,70,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020089,"Manke , B.S.",Linear Control Systems,,Khanna Publisher,1999,556,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,70,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020090,"Padiyar , K.R.",HVDC Power Transmission System,,New Age International,1996,289,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,175,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020091,"Padiyar , K.R.",HVDC Power Transmission System,,New Age International,1996,289,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,175,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020092,"Naidu , M. S.",High Voltage Engineering,,Mcgraw Hill,1999,372,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,140,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020093,"Naidu , M. S.",High Voltage Engineering,,Mcgraw Hill,1999,372,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,140,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
ST020094,"Gaonkar, R.S.",Microprocessor Architecture Programming & Application With the 8085,,PRI,1999,735,621.38,eng,STSCGRANT,STSCGRANT,Electronics & Telecommunication Engineering,225,INR,07/01/2000,2383,BK,General Section,NFIC,APS,
