952$p,100$a,245$a,440$v,260$b,260$c,300$a,082$a,041$h,003,040$c),650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
LG032016,Hwang K./Briggs,Computer Architecture and Parallel Processing,,Mcgraw Hill,1984,846,004,eng,LGGRANT,LGGRANT,Computer Science,347.98,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032017,Hwang K./Briggs,Computer Architecture and Parallel Processing,,Mcgraw Hill,1984,846,004,eng,LGGRANT,LGGRANT,Computer Science,347.98,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032018,Hwang K./Briggs,Computer Architecture and Parallel Processing,,Mcgraw Hill,1984,846,004,eng,LGGRANT,LGGRANT,Computer Science,347.98,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032019,Hwang K./Briggs,Computer Architecture and Parallel Processing,,Mcgraw Hill,1984,846,004,eng,LGGRANT,LGGRANT,Computer Science,347.98,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032020,"Carlson, A.B.",Communication Systems,,Mcgraw Hill,1986,686,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  Engineering,401.85,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032021,"Carlson, A.B.",Communication Systems,,Mcgraw Hill,1986,686,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  Engineering,401.85,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032022,"Oppenneim , A.V.",Digital Signal Processing,,Prentice Hall of India,1999,585,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  Engineering,175,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032023,"Oppenneim , A.V.",Digital Signal Processing,,Prentice Hall of India,1999,585,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  Engineering,175,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032024,"Oppenneim , A.V.",Digital Signal Processing,,Prentice Hall of India,1999,585,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  Engineering,175,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
LG032025,"Gopal, M.",Modern Control System Theory,,New age Publication,1996,688,621.38,eng,LGGRANT,LGGRANT,Electronics & Telecommunication  Engineering,175,INR,15/03/2000,2538,BK,General Section,NFIC,APS,
